GlobalId,IfcClass,Name,Tag
0p0l5UL3z4bARmm2orwz2A,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:635454,635454
2JWVbDSvH5NPljwtB7V5OT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640167,640167
2JWVbDSvH5NPljwtB7V5R2,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640120,640120
1GkzlmPcH0QOU$zSigxFG_,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:611156,611156
1NAlaKy5fFXeFbPxNNJe2K,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603730,603730
2JWVbDSvH5NPljwtB7V5Rd,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640093,640093
1NAlaKy5fFXeFbPxNNJeCU,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:603608,603608
2JWVbDSvH5NPljwtB7V5RS,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640102,640102
3qZnpD2c15qvsmjTSS$Fvx,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590250,590250
0Uk_0$329EPPWa7jxMy3lS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:610238,610238
3Xrq1Ptmj3PvyFm$JMrt_4,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:608548,608548
1ddORp9pX9lQGia16eqEWa,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709237,709237
2dvOhhm4X0cB3xrC6gdXMG,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:637969,637969
2eGk8b7S9EYgiKcuDXjVEN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593966,593966
3qZnpD2c15qvsmjTSS$FqN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590534,590534
15uZAUeUv0ShrxXNlJxaFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639058,639058
35urAQ2xzE28F_hrP6UoZX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709457,709457
15uZAUeUv0ShrxXNlJxaFk,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639049,639049
0p0l5UL3z4bARmm2orwz3I,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635494,635494
2Ib0b0DrX7NgPFxrhA8IUT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:585441,585441
1Bt2bbQ3vCRRncVtkgKp5C,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581988,581988
1NAlaKy5fFXeFbPxNNJeDS,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:603546,603546
3jHr1vyBX8GP4OQyNAvgEc,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614849,614849
2jgIc0Qiv6mgnxn7VATThi,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:609155,609155
2JWVbDSvH5NPljwtB7V5O3,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640185,640185
1g9OLuC_bCgfhiDAcxyp5s,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:587978,587978
3WXsVyiXDCAPWj3vH36e$U,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:589254,589254
3jHr1vyBX8GP4OQyNAvgEG,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:614903,614903
3cBzjqVX552gQYvldt9dKw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:591074,591074
0p0l5UL3z4bARmm2orwz3a,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635472,635472
31Wi8h84rAFhbjNsr8zAwb,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:584097,584097
2JWVbDSvH5NPljwtB7V5Op,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640137,640137
2JWVbDSvH5NPljwtB7V5OA,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640176,640176
0p0l5UL3z4bARmm2orwz21,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635445,635445
3_T5bNv6XAJPJSfD_AzAjS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:631560,631560
2JWVbDSvH5NPljwtB7V5OX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640155,640155
3N0jYBzwL4wx$15TeRgFuj,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:618935,618935
3P_IgBZvj44wQ797S6G0wp,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:710110,710110
3S7CYugLb5EwvHuVha9Jf9,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708777,708777
1Bt2bbQ3vCRRncVtkgKp5p,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581979,581979
1nJ$eNo3P3bPkcbJTdXIno,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:586117,586117
3jHr1vyBX8GP4OQyNAvgFG,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614839,614839
0p0l5UL3z4bARmm2orwz2O,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635436,635436
0p0l5UL3z4bARmm2orwz2m,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635396,635396
15uZAUeUv0ShrxXNlJxaEP,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639038,639038
1g9OLuC_bCgfhiDAcxypup,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:587663,587663
