ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
2JWVbDSvH5NPljwtB7V5Oe,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640146,Identity Data,Assembly Code,str
3jHr1vyBX8GP4OQyNAvg1k,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:614921,Identity Data,Assembly Code,str
270CRfYljClP3lAwmpBQkd,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:613272,Identity Data,Assembly Code,str
1i8VmiVhTBJfZn39qjfOrE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614081,Identity Data,Assembly Code,str
3R7vfnWVP1sAO5n1HY8oDu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:607185,Identity Data,Assembly Code,str
270CRfYljClP3lAwmpBQkT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:613282,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5OT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640167,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5R2,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640120,Identity Data,Assembly Code,str
1GkzlmPcH0QOU$zSigxFG_,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:611156,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJe2K,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603730,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5Rd,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640093,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJeCU,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:603608,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5RS,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640102,Identity Data,Assembly Code,str
3qZnpD2c15qvsmjTSS$Fvx,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590250,Identity Data,Assembly Code,str
0Uk_0$329EPPWa7jxMy3lS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:610238,Identity Data,Assembly Code,str
3Xrq1Ptmj3PvyFm$JMrt_4,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:608548,Identity Data,Assembly Code,str
1ddORp9pX9lQGia16eqEWa,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709237,Identity Data,Assembly Code,str
2dvOhhm4X0cB3xrC6gdXMG,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:637969,Identity Data,Assembly Code,str
2eGk8b7S9EYgiKcuDXjVEN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593966,Identity Data,Assembly Code,str
3qZnpD2c15qvsmjTSS$FqN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590534,Identity Data,Assembly Code,str
15uZAUeUv0ShrxXNlJxaFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639058,Identity Data,Assembly Code,str
35urAQ2xzE28F_hrP6UoZX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709457,Identity Data,Assembly Code,str
15uZAUeUv0ShrxXNlJxaFk,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639049,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz3I,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635494,Identity Data,Assembly Code,str
2Ib0b0DrX7NgPFxrhA8IUT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:585441,Identity Data,Assembly Code,str
1Bt2bbQ3vCRRncVtkgKp5C,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581988,Identity Data,Assembly Code,str
3jHr1vyBX8GP4OQyNAvgEc,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614849,Identity Data,Assembly Code,str
2jgIc0Qiv6mgnxn7VATThi,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:609155,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5O3,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640185,Identity Data,Assembly Code,str
